DebayerTime,fMapTime,iMapTime
1159,4670,4668
1235,5137,4768
1209,5163,4505
1197,4744,4392
1227,4662,4675
1180,5311,4551
1125,4789,4418
1180,4723,4388
1242,4859,4855
1277,5132,4477
1290,4873,4587
1167,4682,4721
1118,5257,4530
1163,4684,4704
1116,4682,4596
996,4994,4529
1245,4814,4461
1161,4771,4406
1244,4656,4524
1154,5033,4480
1071,4799,4498
1264,4711,4395
1143,4948,4685
1247,5106,4467
1233,4856,4617
1144,4757,4498
1221,4981,4512
1300,4795,4456
1281,4742,4375
1235,4838,4529
1284,5021,4484
1280,4836,4491
1167,4690,4365
1180,4959,4904
1251,5318,4555
1095,4725,4404
1187,4651,4376
1224,4997,4813
1280,5190,4510
1120,4693,4369
1156,4959,4810
1212,5272,4523
1109,4720,4704
1210,4724,4391
1242,4805,4863
1275,5128,4487
1188,4765,4377
1259,4669,4713
1216,5007,4474
1142,4745,4410
1185,4671,4387
1182,4672,4690
1187,5288,4368
1239,4731,4380
1241,4851,4682
1176,5039,4491
1115,4824,4534
1217,4696,4465
1202,5271,4653
1287,4802,4521
1203,4805,4539
1144,4791,4641
1256,5243,4687
1061,4723,4495
1258,4697,4428
1181,4816,4833
1229,5275,4686
1246,4787,4458
1193,4825,4696
1200,5271,4621
1176,4673,4489
1243,4764,4512
1242,5196,4681
1291,4861,4564
1247,4713,4462
1181,4659,4688
1200,5377,4698
1253,4733,4473
1169,4822,4807
1299,5158,4674
1154,4810,4463
1160,4889,4780
1221,5302,4547
1398,4829,4467
1184,4826,4579
1243,4939,4586
1188,5306,4843
1183,4749,4395
1166,4658,4658
1206,5397,4530
1416,4828,4478
1178,4752,4375
1231,4828,4944
1283,5358,4521
1181,4717,4380
1283,4868,4816
1153,5279,4497
1063,4723,4379
1242,4748,4473
1268,5050,4785
1224,5133,4465
1233,4725,4365
1182,4709,4708
1188,5282,4507
1127,4807,4521
1122,4751,4385
1177,4780,4649
1178,4971,4384
1188,4855,4586
1177,4716,4558
1157,5039,4491
1153,4697,4419
1203,4704,4399
